Beam off,,,,,Beam on,,,,,,
L,M1,M2,M3,M4,L,M1,M2,M3,M4,,
13413500,28424,450,4,0,912118,4114,190,43,5,,
13413250,28390,480,0,0,912101,4256,211,40,6,,
13413500,28613,502,4,1,912118,4216,190,60,6,,
13413250,28520,487,1,0,912101,4126,208,48,3,,
13413500,28213,470,0,0,912118,4101,186,63,5,,
13413250,28357,502,0,0,912101,4127,185,49,3,,
13413500,28366,461,1,0,912118,4119,197,59,6,,
13413250,28427,510,1,0,912101,4195,198,52,3,,
13413500,28549,459,2,0,912118,4297,195,47,6,,
13413500,28522,461,3,0,912118,4169,210,44,2,,
13413500,28475,464,1,0,912118,4160,199,42,2,,
13413500,28651,502,2,0,912118,4226,194,51,1,,
13413500,28447,503,3,0,912118,4151,200,53,3,,
13413500,28495,510,0,0,912118,4143,192,50,6,,
13413500,28756,448,2,0,912118,4077,205,47,4,,
13413500,28797,468,0,0,912118,4088,231,46,3,,
13413500,28507,446,0,0,912118,4033,192,61,1,,
13413500,28214,500,2,0,912118,4211,208,48,3,,
13413500,28704,469,1,0,912118,4208,193,55,2,,
13413500,28352,454,0,0,912118,4216,200,32,3,,
13413500,28598,473,4,0,912118,4148,209,48,2,,
13413500,28293,486,1,0,912118,4248,192,49,3,,
13413500,28246,493,1,0,912118,4127,204,58,0,,
13413500,28402,444,3,0,912118,4233,213,56,3,,
13413500,28482,452,1,0,912118,4215,193,56,5,,
13413500,28586,483,1,0,912118,4178,194,55,1,,
13413500,28318,479,2,0,912118,4132,229,59,3,,
13413250,28274,474,3,0,912101,4117,203,48,1,,
13413500,28402,487,1,1,912118,4112,187,33,3,,
13413500,28580,459,2,0,912118,4285,216,37,2,,
13413250,28290,478,3,0,912101,4219,193,47,4,,
13413250,28267,479,4,0,912101,4100,210,46,7,,
13413500,28347,459,3,0,912118,4121,201,45,2,,
13413500,28556,442,1,0,912118,4267,195,41,5,,
13413500,28656,488,2,0,912118,4178,224,36,1,,
13413500,28531,472,2,0,912118,4259,216,51,2,,
13413250,28457,497,2,0,912101,4133,189,41,5,,
13413500,28436,457,2,0,912118,4092,209,50,4,,
13413500,28656,572,1,0,912118,4228,187,43,4,,
13413500,28630,475,2,0,912118,4198,213,44,3,,
13413500,28497,495,2,0,912118,4159,189,56,0,,
13413500,28625,490,0,0,912118,4253,196,44,2,,
13413500,28503,478,1,0,912118,4200,214,43,2,,
13413500,28135,498,3,0,912118,4275,197,41,2,,
13413500,28534,493,2,0,912118,4124,173,49,4,,
13413500,28372,465,3,0,912118,4057,199,56,2,,
13413500,28341,524,0,0,912118,4112,200,50,4,,
13413500,28190,466,1,0,912118,4154,209,45,5,,
13413500,28286,483,1,0,912118,4072,212,48,3,,
13413500,28366,478,0,0,912118,4251,184,38,0,,
13413500,28243,478,2,0,912118,4243,216,63,7,,
13413500,28541,517,1,0,912118,4207,201,66,1,,
13413250,28078,492,2,0,912101,4094,191,49,4,,
13413500,28493,458,1,0,912118,4105,219,47,3,,
13413500,28587,443,2,0,912118,4136,215,37,3,,
13413500,28296,472,1,0,912118,4138,203,52,3,,
13413250,28353,480,1,0,912101,4221,192,50,2,,
13413500,28022,460,1,0,912118,4292,211,50,0,,
13413500,28563,528,3,0,912118,4074,181,52,3,,
13413500,28472,461,2,0,912118,4211,201,52,1,,
13413500,28135,463,1,0,912118,4190,195,41,2,,
13413500,28296,427,2,0,912118,4160,224,50,2,,
13413500,28468,442,2,0,912118,4119,196,53,1,,
13413500,28473,489,1,0,912118,4235,191,48,5,,
13413500,28326,462,0,0,912118,4247,225,45,2,,
13413500,28677,494,1,0,912118,4209,180,57,2,,
13413500,28507,498,3,0,912118,4222,180,58,7,,
13413500,28375,487,1,0,912118,4240,199,43,3,,
13413500,28223,489,1,0,912118,4146,178,51,2,,
13413500,28361,477,2,0,912118,4066,225,46,3,,
13413500,28633,494,2,0,912118,4078,197,42,1,,
13413500,28355,486,2,0,912118,4210,195,42,5,,
13413500,28449,455,3,0,912118,4228,217,59,0,,
13413500,28166,496,0,0,912118,4080,194,53,4,,
13413500,28242,440,0,0,912118,4211,194,54,3,,
13413250,28484,476,3,0,912101,4010,191,48,3,,
13413500,28593,462,2,0,912118,4226,204,60,3,,
13413500,28333,519,5,0,912118,4140,222,56,4,,
13413500,28048,485,4,0,912118,4182,210,55,4,,
13413500,28493,460,0,1,912118,4132,205,51,1,,
13413500,28368,430,1,0,912118,4225,206,48,3,,
13413250,28506,467,1,0,912101,4153,195,53,3,,
13413500,28321,475,1,0,912118,4118,186,54,3,,
13413500,28350,495,3,0,912118,4225,179,43,3,,
13413500,28508,494,1,0,912118,4249,206,41,1,,
13413500,28316,460,1,0,912118,4189,186,31,2,,
13413500,28431,481,1,0,912118,4248,192,53,4,,
13413500,28603,517,2,0,912118,4198,205,61,6,,
13413500,28601,490,2,0,912118,4167,194,43,2,,
13413500,28420,453,2,0,912118,4166,194,55,4,,
13413250,28320,475,1,0,912101,4196,205,40,4,,
13413500,28250,450,1,0,912118,4364,194,39,4,,
13413500,28419,513,0,0,912118,4275,210,42,2,,
13413500,28092,443,1,0,912118,4140,202,42,2,,
13413500,28435,496,1,0,912118,4243,211,51,1,,
13413500,28584,471,1,0,912118,4285,223,54,3,,
13413500,28482,449,2,0,912118,4256,183,47,2,,
13413500,28357,436,2,0,912118,4119,209,60,1,,
13413500,28268,476,1,0,912118,4194,191,52,4,,
13413500,28514,499,1,0,912118,4162,162,44,4,,
,,,,,,,,,,,
1341346750,2842065,47725,158,3,91211579,417704,20019,4886,299,,90768671
